name
Joseph M. Acaba
Loren W. Acton
James C. Adamson
Thomas D. Akers
Buzz Aldrin
Andrew M. Allen
Joseph P. Allen
Scott D. Altman
William A. Anders
Clayton C. Anderson
Michael P. Anderson
Dominic A. Antonelli
Jerome Apt III 
Lee J. Archambault
Neil A. Armstrong
Richard R. Arnold II 
Jeffrey S. Ashby
Serena M. Aunon
James P. Bagian
Ellen S. Baker
Michael A. Baker
Michael R. Barratt
Daniel T. Barry
John-David F. Bartoe
Charles A. Bassett II 
Alan L. Bean
Robert L. Behnken
John E. Blaha
Michael J. Bloomfield
Guion S. Bluford Jr. 
Karol J. Bobko
Eric A. Boe
Charles F. Bolden Jr. 
Frank Borman
Stephen G. Bowen
Kenneth D. Bowersox
Charles E. Brady Jr. 
Vance D. Brand
Daniel C. Brandenstein
Randolph J. Bresnik
Roy D. Bridges Jr. 
Curtis L. Brown Jr. 
David M. Brown
Mark N. Brown
James F. Buchli
Jay Clark Buckey
John S. Bull
Daniel C. Burbank
Daniel W. Bursch
Robert D. Cabana
Yvonne D. Cagle
Fernando Caldeiro
Tracy E. Caldwell (Dyson)
Charles J. Camarda
Kenneth D. Cameron
Duane G. Carey
M. Scott Carpenter
Gerald P. Carr
Manley Lanier Carter Jr. 
John H. Casper
Christopher J. Cassidy
Robert Cenker
Eugene A. Cernan
Roger B. Chaffee
Gregory E. Chamitoff
Franklin R. Chang-Diaz
Philip K. Chapman
Kalpana Chawla
Leroy Chiao
Kevin P. Chilton
Laurel B. Clark
Mary L. Cleave
Michael R. Clifford
Michael L. Coats
Kenneth D. Cockrell
Catherine G. Coleman
Eileen M. Collins
Michael Collins
Charles Conrad Jr. 
L. Gordon Cooper Jr. 
Richard O. Covey
Timothy J. Creamer
John O. Creighton
Robert L. Crippen
Roger K. Crouch
Frank L. Culbertson Jr. 
Walter Cunningham
Robert L. Curbeam Jr. 
Nancy J. Currie
N. Jan Davis
Lawrence J. Delucas
Alvin B. Drew Jr. 
Brian Duffy
Charles M. Duke Jr. 
Bonnie J. Dunbar
Samuel T. Durrance
James P. Dutton Jr. 
Joe F. Edwards Jr. 
Donn F. Eisele
Anthony W. England
Joe H. Engle
Jeanette J. Epps
Ronald E. Evans Jr. 
John M. Fabian
Christopher J. Ferguson
Martin J. Fettman
Andrew J. Feustel
E. Michael Fincke
Jack D. Fischer
Anna L. Fisher
William F. Fisher
C. Michael Foale
Kevin A. Ford
Michael J. Foreman
Patrick G. Forrester
Michael E. Fossum
Theodore C. Freeman
Stephen N. Frick
C. Gordon Fullerton
F. Andrew Gaffney
Ronald J. Garan Jr. 
Dale A. Gardner
Guy S. Gardner
Jake Garn
Owen K. Garriott
Charles D. Gemar
Michael L. Gernhardt
Edward G. Gibson
Robert L. Gibson
Edward G. Givens Jr. 
John H. Glenn Jr. 
Linda M. Godwin
Michael T. Good
Richard F. Gordon Jr. 
Dominic L. Gorie
Ronald J. Grabe
Duane E. Graveline
Frederick D. Gregory
William G. Gregory
S. David Griggs
Virgil I. Grissom
John M. Grunsfeld
Sidney M. Gutierrez
Fred W. Haise Jr. 
James D. Halsell Jr. 
Kenneth T. Ham
L. Blaine Hammond Jr. 
Gregory J. Harbaugh
Bernard A. Harris Jr. 
Terry J. Hart
Henry W. Hartsfield Jr. 
Frederick H. Hauck
Steven A. Hawley
Susan J. Helms
Karl G. Henize
Thomas J. Hennen
Terence T. Henricks
Jose M. Hernandez
John B. Herrington
Richard J. Hieb
Joan E. Higginbotham
David C. Hilmers
Kathryn P. Hire
Charles O. Hobaugh
Jeffrey A. Hoffman
Donald L. Holmquest
Michael S. Hopkins
Scott J. Horowitz
Millie Hughes-Fulford
Douglas G. Hurley
Rick D. Husband
James B. Irwin
Marsha S. Ivins
Gregory B. Jarvis
Mae C. Jemison
Tamara E. Jernigan
Brent W. Jett
Gregory C. Johnson
Gregory H. Johnson
Thomas D. Jones
Janet L. Kavandi
James M. Kelly
Mark E. Kelly
Scott J. Kelly
Joseph P. Kerwin
Susan L. Kilrain (Still)
Robert Shane Kimbrough
Timothy L. Kopra
Kevin R. Kregel
Wendy B. Lawrence
Mark C. Lee
David C. Leestma
William B. Lenoir
Fred W. Leslie
Byron K. Lichtenberg
Don L. Lind
Kjell N. Lindgren
Steven W. Lindsey
Jerry M. Linenger
Richard M. Linnehan
Gregory T. Linteris
John A. Llewellyn
Paul S. Lockhart
Michael E. Lopez-Alegria
Christopher J. Loria
J. Mike Lounge
Jack R. Lousma
Stanley G. Love
James A. Lovell Jr. 
G. David Low
Edward T. Lu
Shannon W. Lucid
Sandra H. Magnus
Thomas H. Marshburn
Michael J. Massimino
Richard A. Mastracchio
Thomas K. Mattingly II 
K. Megan McArthur
William S. McArthur Jr. 
S. Christa McAuliffe
Jon A. McBride
Bruce McCandless II 
William C. McCool
Michael J. McCulley
James A. McDivitt
Donald R. McMonagle
Ronald E. McNair
Carl J. Meade
Bruce E. Melnick
Pamela A. Melroy
Leland D. Melvin
Dorothy M. Metcalf-Lindenberger
F. Curtis Michel
Edgar D. Mitchell
Barbara R. Morgan
Lee M. Morin
Richard M. Mullane
Story Musgrave
Steven R. Nagel
Bill Nelson
George D. Nelson
James H. Newman
Carlos I. Noriega
Lisa M. Nowak
Karen L. Nyberg
Bryan D. O'Connor
Brian T. O'Leary
Ellen Ochoa
William A. Oefelein
John D. Olivas
Ellison S. Onizuka
Stephen S. Oswald
Robert F. Overmyer
William A. Pailes
Scott E. Parazynski
Ronald A. Parise
Robert A. Parker
Niclolas J. M. Patrick
James A. Pawelczyk
Gary E. Payton
Donald H. Peterson
Donald R. Pettit
John L. Phillips
William R. Pogue
Alan G. Poindexter
Mark L. Polansky
Charles J. Precourt
William F. Readdy
Kenneth S. Reightler Jr. 
James F. Reilly II 
Garrett E. Reisman
Judith A. Resnik
Paul W. Richards
Richard N. Richards
Sally K. Ride
Patricia Hilliard Robertson
Stephen K. Robinson
Kent V. Rominger
Stuart A. Roosa
Jerry L. Ross
Kathleen Rubins
Mario Runco Jr. 
Albert Sacco Jr.
Robert L. Satcher Jr. 
Walter M. Schirra Jr. 
Harrison H. Schmitt
Russell L. Schweickart
Francis R. Scobee
David R. Scott
Winston E. Scott
Paul D. Scully-Power
Richard A. Searfoss
Margaret Rhea Seddon
Elliot M. See Jr. 
Ronald M. Sega
Piers J. Sellers
Brewster H. Shaw Jr. 
Alan B. Shepard Jr. 
William M. Shepherd
Loren J. Shriver
Donald K. Slayton
Michael J. Smith
Steven L. Smith
Sherwood C. Spring
Robert C. Springer
Thomas P. Stafford
Heidemarie M. Stefanyshyn-Piper
Robert L. Stewart
Nicole P. Stott
Frederick W. Sturckow
Kathryn D. Sullivan
Steven R. Swanson
John L. Swigert Jr. 
Daniel M. Tani
Joseph R. Tanner
Norman E. Thagard
Andrew S. W. Thomas
Donald A. Thomas
Stephen D. Thorne
Kathryn C. Thornton
William E. Thornton
Pierre J. Thuot
Scott D. Tingle
Richard H. Truly
Lodewijk van den Berg
James D. van Hoften
Mark T. Vande Hei
Charles Lacy Veach
Terry W. Virts Jr. 
James S. Voss
Janice E. Voss
Rex J. Walheim
Charles D. Walker
David M. Walker
Shannon Walker
Carl E. Walz
Taylor G. Wang
Mary E. Weber
Paul J. Weitz
James D. Wetherbee
Douglas H. Wheelock
Edward H. White II 
Peggy A. Whitson
Terrence W. Wilcutt
Clifton C. Williams Jr. 
Donald E. Williams
Jeffrey N. Williams
Sunita L. Williams
Barry E. Wilmore
Stephanie D. Wilson
G. Reid Wiseman
Peter J. K. Wisoff
David A. Wolf
Neil W. Woodward III 
Alfred M. Worden
John W. Young
George D. Zamka
