name
Katina Paxinou
Akim Tamiroff
Henry King
The Song Of Bernadette
Jennifer Jones
Paul Lukas
Agnes Moorehead
Barry Fitzgerald
Leo McCarey
Going My Way
Ingrid Bergman
Alexander Knox
Angela Lansbury
J. Carroll Naish
Billy Wilder
Frank Sinatra
The Lost Weekend
Ingrid Bergman
Ray Milland
Anne Baxter
Clifton Webb
Frank Capra
"Switzerland, Leopold Lindtberg"
Harold Russell
The Best Years Of Our Lives
Rosalind Russell
Gregory Peck
Celeste Holm
Edmund Gwenn
Elia Kazan
George Seaton
Max Steiner
Walt Disney
Lois Maxwell
Richard Widmark
Gentleman's Agreement
Dean Stockwell
Rosalind Russell
Ronald Colman
Jack Cardiff
Ellen Corby
Walter Huston
John Huston
Richard Schweizer
Brian Easdale
Fred Zinnemann
Johnny Belinda
The Treasure of the Sierra Madre
Ivan Jandl
Jane Wyman
Laurence Olivier
"United Kingdom, Laurence Olivier"
Gabriel Figueroa
Mercedes McCambridge
Miriam Hopkins
James Whitmore
David Brian
Robert Rossen
William Wyler
Robert Pirosh
Walter Doniger
The Bicycle Thief
The Fallen Idol
Johnny Green
George Duning
Vincent Sherman
Maurice Cloche
Mercedes McCambridge
Ruth Roman
Richard Todd
Juano Hernandez
The Adventures of Ichabod and Mr. Toad
On The Town
All The King's Men
Come To The Stable
Olivia de Havilland
Deborah Kerr
Broderick Crawford
Richard Todd
Franz F. Planer
Burnett Guffey
Gloria Swanson
Bette Davis
Judy Holliday
José Ferrer
Louis Calhern
James Stewart
Fred Astaire
Dan Dailey
Harold Lloyd
Josephine Hull
Judy Holliday
Thelma Ritter
Edmund Gwenn
Erich von Stroheim
George Sanders
Billy Wilder
George Cukor
John Huston
Joseph L. Mankiewicz
Joseph L. Mankiewicz
"Charles Brackett, Billy Wilder, D. M. Marshman Jr."
"Ben Maddow, John Huston"
Franz Waxman
Leith Stevens
Bronislau Kaper
Delmer Daves
George Seaton
William A. Wellman
Gene Nelson
Mala Powers
Debbie Reynolds
Sunset Boulevard
Born Yesterday
