name
Roger Joseph Boscovich
Emma Previato
Feodor Deahna
Denis Henrion
Henri Delannoy
John Hymers
Alexander Grothendieck
Theodore James Courant
Ljubomir Chakaloff
Earnshaw Cook
Nikolay Bogolyubov
Henry W. Gould
C. S. Seshadri
George F. Pinder
Roman Holowinsky
Johannes Hudde
Morris Kline
Thomas Wolff
Joseph Lipman
John Fox 
Martin Bridson
Matthew Stewart 
Uriel Frisch
Gábor Korchmáros
Dionigi Galletto
Quirico Filopanti
Jeffery J. Leader
Thomas Rudd
Elon Lindenstrauss
Yitang Zhang
Idris Assani
Peter Redford Scott Lang
James Stirling 
Étienne Pardoux
Anadi Sankar Gupta
Patrick Brosnan
Edward Vermilye Huntington
David Christiani
Yvette Kosmann-Schwarzbach
Benedikt Löwe
N. M. J. Woodhouse
Giovanni Carandino
Nataša Pavlović
Heinrich Wilhelm Brandes
Kim Thomas
Johann Friedrich Weidler
Abu al-Wafa' Buzjani
François Jacquier
Marc Rieffel
Thomas John I'Anson Bromwich
Henri Darmon
Adriaan van Roomen
Lancelot Hogben
Oscar Goldman 
Avinash Kak
Mike Worboys
Chen Jingrun
Christopher Wursteisen
Charles Jasper Joly
Herbert Enderton
Norman Macleod Ferrers
Ferdinand Augustin Hallerstein
Katia Sycara
Jan Arnoldus Schouten
J. Barkley Rosser
E. F. Schumacher
Franco Brezzi
Jack Edmonds
James R. Jackson
Alex F. T. W. Rosenberg
Michael Healy 
Joseph J. Kohn
Kokichi Sugihara
Ted Harris 
Yajnavalkya
Carl Gustav Jacob Jacobi
Eduardo Héctor Zarantonello
Charles L. Bouton
Aleksandr Danilovich Aleksandrov
Abu Mansur al-Baghdadi
Alfred William Flux
Hellmuth Stachel
Antonio Collalto 
David Berlinski
Charles Cobb (economist)
Shmuel Agmon
Mihail Zervos
R. W. H. T. Hudson
Luigi Cremona
Anatoly Libgober
John Blagrave
Ben Green 
Adrian Bowyer
William of Heytesbury
John Stillwell
Helmut Hasse
Klara Dan von Neumann
Valerie Isham
Stefan Ralescu
Jay Kappraff
Irvin Cohen
Asef Hadjiyev
Nikolai Sergeevich Bakhvalov
Earl A. Coddington
James Bates Thomson
W. Frahm
Solomon W. Golomb
Hilary Putnam
Mikhail Menshikov
Alexis Fontaine des Bertins
Goro Nishida
Moshe Shaked
Augustus William Smith
Jean Gaston Darboux
José de Jesús Martínez
Walter Hayman
Claire Mathieu
Walter Craig 
Annamalai Ramanathan
Yehoshua Bar-Hillel
Claude Shannon
Étienne-Louis Malus
Børge Jessen
Justinian Rweyemamu
Margaret Meyer
Heide Gluesing-Luerssen
Michael Lin 
Robert Remak 
Joan Birman
Jerald Ericksen
Josef Finger
Adrastus of Cyzicus
George Darwin
John Meadows Jackson
Richard Eliot Chamberlin
Jacob Fox
Jonas Kubilius
Celso Grebogi
Heinrich Behnke
Jim Hoffman
Howard Hawks Mitchell
David Luenberger
Nail Bakirov
Gaston Albert Gohierre de Longchamps
Claude Lemaréchal
John Howard Van Amringe
Erling Sverdrup
Andrew Majda
O. Timothy O'Meara
Ray Solomonoff
Eduardo Torroja Caballe
Barry Pennington
W. Allen Wallis
Isaac Barrow
Giulio Carlo de' Toschi di Fagnano
Hans Hermes
Marcus Jordanus
Sibe Mardešić
John Hinch 
Charles Graves (bishop)
Isaak Moiseevich Milin
Bassano Politi
Lars Svenonius
Georg Simon Klügel
D'Arcy Wentworth Thompson
Tadeusz Ważewski
Lester R. Ford
Joseph Furttenbach
Colin Clark (economist)
Jonathan Pila
Navin M. Singhi
Peter Turner 
Mary Wheeler
Nicholas Bingham
Jacob Tamarkin
Brian Skyrms
David Bates (physicist)
Giuseppe Maria Ficatelli
Marguerite Lehr
Jonathan Mock Beck
Sun Yuanhua
Philippe G. Ciarlet
Gustav Herglotz
Sigve Tjøtta
Roger Lyndon
Ludwig Boltzmann
Brian Kuttner
Zdzisław Krygowski
Francis Guthrie
Curt Meyer
Thomas Muirhead Flett
Gerhard Hochschild
Len Cook
Bojidar Spiriev
Kenneth I. Gross
Jean-Pierre Bourguignon
Edward Neuman
Ludwig Schlesinger
Richard A. Brualdi
Cristian S. Calude
Harry Swinney
Arne Broman
Michelle Francl
Jörg Bewersdorff
Sandy Green 
Daya-Nand Verma
Georg Tannstetter
Malabika Pramanik
Honoré Fabri
William Moore (British mathematician)
Sergei Konyagin
Sigmundur Gudmundsson
Sabir Gusein-Zade
Charles Dupin
Pyotr Semyonov-Tyan-Shansky
William Boone 
Louis Rosenhead
Pablo Ferrari
Oswald Teichmüller
Victor Goryunov
Nikolai Brashman
Henry Wallman
Aleksander Rajchman
John McWhirter 
Heinrich G. F. Schröder
Carlos Biggeri
Vincenzo Mollame
Tjalling Koopmans
Domenico Maria Novara da Ferrara
Zvonimir Janko
Albert Joseph McConnell
George Maltese
Ivan M. Niven
Surindar Kumar Trehan
Jean Berstel
Petr Ufimtsev
George Ridsdale Goldsbrough
Ctesibius
Ralph Grimaldi
Joan Francés Fulcònis
D. D. Morduhai-Boltovskoi
Arthur Harold Stone
Prabhakar Raghavan
Lazarus Bendavid
Margaret Clement
Anatoly Karatsuba
Jacqueline Ferrand
Stephen Milne 
Walter A. Shewhart
Marie Farge
Géza Grünwald
Olga Holtz
Zygmunt Vetulani 
Angelo Genocchi
Carlos Albán
Rüdiger Valk
Rudolf Inzinger
Neil Robertson 
Carlos J. Moreno
Frank Matthews Leslie
Tiberiu Popoviciu
Solomon Lefschetz
Eduard Study
René Thom
Robert Kupperman
Nikolai Bugaev
Yom Tov Lipman Lipkin
Eric Stephen Barnes
Robert H. Coats
Carl Hierholzer
A. Ross Eckler
Ignatius Carbonnelle
Michael Stifel
Martin Folkes
Frank J. Ayres
Paul Dedecker
Lev Schnirelmann
Peter G. Casazza
Raphael Levi Hannover
Kurt Leichtweiss
Walter Foster 
Tadeusz Kotarbiński
David Minda
Claudia Zaslavsky
Edward H. Simpson
Dwight Duffus
Leonard Ornstein
F. H. Jackson
Willford I. King
Sophie Bryant
Joseph Tilly
George Shuckburgh-Evelyn
Hubert Bray
Henry P. H. Bromwell
J. W. S. Cassels
Melpathur Narayana Bhattathiri
John Grue
Kenji Ueno
Arthur Engel 
A. Edward Nussbaum
Charles Brenner 
Sanford L. Segal
Henricus Brucaeus
Juan de Celaya
Levon Aghababyan
Jaroslav Kurzweil
You-Dong Liang
Julius Petersen
Francesco Barberino Benici
Michael Aschbacher
Gert Sabidussi
Bertram Kostant
Arnaud Denjoy
Notker Labeo
Christian Goldbach
Harvey P. Greenspan
Steven Haberman
Dorit S. Hochbaum
Jarl Waldemar Lindeberg
Sifeng Liu
Gaspare Mainardi
Herman Otto Hartley
Daniel J. Bernstein
Shihoko Ishii
Eric Temple Bell
Miklós Bóna
Gottlob Frege
Shing-Tung Yau
Peter V. E. McClintock
Eugene M. Luks
Léon Bottou
Brahmadeva
Yves Laszlo
Eric Goles
Yang Hui
Robert Edmund O'Malley
Benson Farb
John Backus
Éamon de Valera
Ralph Greatorex
Felix Berezin
Pierre Frédéric Sarrus
Edward Szturm de Sztrem
Wilhelm Ackermann
Vera Pawlowsky-Glahn
David Orrell
Carlos Conca
Leonty Magnitsky
Daniel Lightwing
Helmut Grunsky
Colm Mulcahy
Mojżesz David Kirszbraun
Ernest Michael
Anna Mullikin
Paul Fearnhead
Philipp Ludwig von Seidel
Katsumi Nomizu
Michael Freedman
Sze-Tsen Hu
S. R. Ranganathan
Torkel Franzén
Meyer Jerison
