name
Aakash Shyamlal Chopra
Aamer Hameed
Aamer Hanif
Aamer Malik
Aamer Nazir
Mohammad Aamer Sohail Ali
Aaqib Javed
Aaron James Finch
Aaron Warren O'Brien
Aaron Mpho Phangiso
Aaron James Redmond
Aashish Rakesh Kapoor
Aasif Yusuf Karim
Aavishkar Madhav Salvi
Abraham Benjamin de Villiers
Abbas Ali Baig
Abdool Mudassar Samad
Abdul Jabbar Chaudrey
Abdul Kadir
Abdul Hafeez Kardar
Abdul Qadir Khan
Abdul Razzaq
Abdul Rehman
Abdullah Mazari
Abdur Rauf Khan
Khan Abdur Razzak
Abdur Rehman
Abraham Waddington
Abey Kuruvilla
Abhijit Vasant Kale
Abhimanyu Mithun
Abhinav Mukund
Abhishek Mohan Nayar
Mohammad Abul Hasan
Abzal S Dean
Adam Marc Bacher
Adam Craig Dale
Adam John Dibble
Adam Craig Gilchrist
Adam John Hollioake
Adam George Huckle
Adam Lyth
Adam Fraser Milne
Adam Craig Parore
Adam Sanford
Adam Charles Voges
Mohammad Adeel Khalid Raja
Adil Usman Rashid
Adnan Akmal
Adrian Boris Barath
Adrian Frank Gordon Griffith
Adrian Paul Kuiper
Afaq Hussain
Arthur Harwood Jarvis
Afsar Khan Zazai
Aftab Ahmed Chowdhury
Aftab Alam
Aftab Baloch
Aftab Gul Khan
Aftab Habib
Aftabobeen Shamshudeen
Mohammad Afzaal Haider
Agha Saadat Ali
Agha Zahid
Shaker Ahmed Kamal
Ahmed Raza
Ahmed Shah Ahmedzi
Ahmed Shehzad
Malik Ahsan Ahmad Jamil
Aiden Craig Blizzard
Aijaz Ali
Aizaz Bin Ilyas Cheema
Mohammad Aizaz Khan
Balapuwaduge Ajantha Winslo Mendis
Ajaysinhji Daulatsinhji Jadeja
Ajay Ratra
Ajay Kumar Sharma
Ajinkya Madhukar Rahane
Ajit Bhalchandra Agarkar
Ginigalgodage Ramba Ajit de Silva
Ajit Manohar Pai
Ajit Laxman Wadekar
Ajith Priyantha Weerakkody
Ajmal Shahzad
Apoorva Kumar Sengupta
Withanaarchchige Chamara Akalanka Ganegama
Akhtar Sarfraz
Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera
Mohammad Akram Hussain Khan
Mohammad Akram Raza
